academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
รองศาสตราจารย์,กมล ฉายาวัฒนะ,,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University,-,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กมล เผ่าสวัสดิ์,Sukhit Phaosavasdi,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ทัศนศิลป์,155.0,91.0,126.0,7.0,78.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กมลทิพย์ กสิภาร์,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,ชีววิทยา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กมลทิพย์ หาญผดุงกิจ,Kamolthip Harnphadungkit,มหาวิทยาลัยมหิดล,Mahidol University,เวชศาสตร์ฟื้นฟู,39.0,7.0,37.0,4.0,23.0,ปริญญาตรี,ข้าราชการ
ศาสตราจารย์,กมลพร แก้วพรสวรรค์,Kamolporn Kaewpornsawan,มหาวิทยาลัยมหิดล,Mahidol University,ศัลยศาสตร์ออร์โธปิดิกส์,190.0,40.0,177.0,6.0,49.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กมลพรรณ นามวงศ์พรหม,Kamolpun Namwongprom,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,พฤกษศาสตร์,,,,0.0,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กรกฏ เห็นแสงวิไล,,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,กายภาพบำบัด,,,,,,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กรรณิกา คงสาคร,Kannika Kongsakorn,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,คณิตศาสตร์,,,,0.0,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กรรณิกา ชัชวาลวานิช,Kannika Chatchavalvanich,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,สัตววิทยา,120.0,16.0,107.0,8.0,27.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กรรณิกา บัณสิทธิ์,,มหาวิทยาลัยอีสเทิร์นเอเชีย,University of Eastern Asia,-,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กรรณิกา วิทย์สุภากร,Kannika Vitsupakorn,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,เวชศาสตร์ชุมชน,38.0,6.0,36.0,4.0,13.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กรรณิการ์ ดิษยวงศ์,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok,สิ่งแวดล้อมทางเคมี,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
ศาสตราจารย์,กรรณิการ์ พรพัฒน์กุล,Kannika Phornphutkul,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,อายุรศาสตร์,238.0,16.0,235.0,8.0,96.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กรรณิการ์ เฉกแสงรัตน์,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ไทย,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กรวลัย พันธุ์แพ,Kornvalai Panpae,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,เคมีอนินทรีย์,,,,0.0,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กรองทอง รัตนวงศ์สวัสดิ์,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,คณิตศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กรองทิพย์ ชัยชาญ,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,เศรษฐศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กฤช ภูริสินสิทธิ์,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เศรษฐศาสตร์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กฤตยา อาชวนิจกุล,Kritaya Archavanitkul,มหาวิทยาลัยมหิดล,Mahidol University,วิจัยประชากรและสังคม,44.0,5.0,42.0,4.0,11.0,ปริญญาโท,ต่ออายุราชการ
ศาสตราจารย์,กฤตย์วิกรม ดุรงค์พิศิษฎ์กุล,Kritvikrom Durongpisitkul,มหาวิทยาลัยมหิดล,Mahidol University,กุมารเวชศาสตร์,1326.0,53.0,1236.0,14.0,135.0,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กฤตวัน ศิริบูรณ์,Kritawan Siriboon,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,วิศวกรรมคอมพิวเตอร์,35.0,15.0,27.0,4.0,14.0,ปริญญาโท,ข้าราชการ
ศาสตราจารย์,กฤษฎา รัตนโอฬาร,Krisada Ratana-Olarn,มหาวิทยาลัยมหิดล,Mahidol University,ศัลยศาสตร์ระบบปัสสาวะ,287.0,33.0,277.0,9.0,60.0,ปริญญาตรี,ต่ออายุราชการ
รองศาสตราจารย์,กฤษฎา ศรีธรรมา,,มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Maha Sarakham University,ภาษาไทย,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กฤษฎา อินทรสถิตย์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,สถาปัตยกรรมภายใน,,,,,,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กฤษฎา ไตรสุรัตน์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,คณิตศาสตร์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กฤษฎี ประภาสะวัต,,มหาวิทยาลัยมหิดล,Mahidol University,รังสีวิทยาทั่วไป,,,,,,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กฤษณา ชินสิญจน์,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,การศึกษา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กฤษณา ปทีปโชติวงศ์,Kritsana Pathepchotiwong,มหาวิทยาลัยมหิดล,Mahidol University,จุลทรรศน์ศาสตร์คลินิก,66.0,5.0,66.0,2.0,14.0,ปริญญาโท,ข้าราชการ
ศาสตราจารย์,กฤษณา เพ็งสา,Krisana Pengsaa,มหาวิทยาลัยมหิดล,Mahidol University,กุมารเวชศาสตร์,1434.0,46.0,1216.0,15.0,128.0,ปริญญาตรี,ต่ออายุราชการ
รองศาสตราจารย์,กฤษณา เลิศสุขประเสริฐ,Krisna Lertsukprasert,มหาวิทยาลัยมหิดล,Mahidol University,โสต ศอ นาสิก ลาริงซ์วิทยา,76.0,10.0,75.0,4.0,53.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กฤษณ์ ปิ่นทอง,Krit Pinthong,มหาวิทยาลัยราชภัฏสุรินทร์,Surindra Rajabhat University,ชีววิทยา,179.0,56.0,117.0,7.0,95.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กวี ครองแก้ว,,มหาวิทยาลัยราชภัฏกำแพงเพชร,Kamphaeng Phet Rajabhat University,ดุริยางคศิลป์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กวี รักษ์ชน,,มหาวิทยาลัยราชภัฏเทพสตรี,Thepsatri Rajabhat University,-,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กวี ศิริโภคาภิรมย์,,มหาวิทยาลัยราชภัฏเทพสตรี,Thepsatri Rajabhat University,คณิตศาสตร์,,,,,,-,อื่นๆ
รองศาสตราจารย์,กวี หวังนิเวศน์กุล,,มหาวิทยาลัยเอเชียอาคเนย์,Southeast Asia University,วิศวกรรมโยธา,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กษิดิศ อื้อเชี่ยวชาญกิจ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
ศาสตราจารย์,กอบกาญจน์ ทองประสม,Kobkan Thongprasom,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,-,1942.0,51.0,1232.0,19.0,148.0,-,ข้าราชการ
รองศาสตราจารย์,กอบกุล ปราบประชา,,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,Rajamangala University of Technology Thanyaburi,เทคโนโลยีทางการศึกษา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กอบกุล สังขะมัลลิก,,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,Valaya Alongkorn Rajabhat University,การศึกษา,,,,,,ปริญญาโท,ข้าราชการ
ศาสตราจารย์,กอบชัย พัววิไล,Gobchai Puavilai,มหาวิทยาลัยมหิดล,Mahidol University,อายุรศาสตร์,763.0,46.0,738.0,14.0,105.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กอบศิริ วรศรี,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,ฟิสิกส์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กอบแก้ว รัตนอุบล,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กัญญนันทน์ กฤษศิริวุฒินันท์,Kanyanan Kritsiriwuthinan,มหาวิทยาลัยรังสิต,Rangsit University,จุลชีววิทยา,53.0,10.0,51.0,5.0,21.0,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กัญญรัตน์ เวชชศาสตร์,,มหาวิทยาลัยศิลปากร,Silapakorn University,ภาษาไทย,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กัญญา ธัญมันตา,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ศึกษาศาสตร์,,,,,,ปริญญาโท,ต่ออายุราชการ
รองศาสตราจารย์,กัญญา เจริญศุภกุล,,มหาวิทยาลัยศิลปากร,Silapakorn University,ภาพพิมพ์,,,,,,-,ข้าราชการ
รองศาสตราจารย์,กันจณา ดำโสภี,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,ภาพพิมพ์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กันยา ออประเสริฐ,,มหาวิทยาลัยมหิดล,Mahidol University,พยาบาลศาสตร์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กันยารัตน์ โตธนะรุ่งโรจน์,Kanyarat Totanarungroj,มหาวิทยาลัยมหิดล,Mahidol University,สูติ-นรีเวชวิทยา,25.0,8.0,25.0,3.0,12.0,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กัมพล แก้วเกษ,Kampon Kaeoket,มหาวิทยาลัยมหิดล,Mahidol University,สูติศาสตร์ เธนุเวชวิทยา และวิทยาการสืบพันธุ์,612.0,47.0,413.0,15.0,69.0,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กัลณกา สาธิตธาดา,Gannaga Satittada,มหาวิทยาลัยแม่ฟ้าหลวง,Mae Fah Luang University,ฟิสิกส์,5.0,6.0,5.0,1.0,9.0,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กัลยกร วรกุลลัฎฐานีย์,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,การโฆษณา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กัลยา พัฒนะศรี,,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University,-,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กัลยา ภราไดย,Kalaya Pharadai,มหาวิทยาลัยอีสเทิร์นเอเชีย,University of Eastern Asia,-,207.0,8.0,154.0,8.0,15.0,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กัลยา ศรีสุวรรณ,Galaya Srisuwan,มหาวิทยาลัยวลัยลักษณ์,Walailak University,วิศวกรรมสิ่งแวดล้อม,33.0,3.0,32.0,3.0,6.0,-,ข้าราชการ
รองศาสตราจารย์,กัลยา เจือจันทร์,Kanlaya Chuachan,มหาวิทยาลัยขอนแก่น,Khon Kaen University,อายุรศาสตร์,3.0,3.0,3.0,1.0,12.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กัลยาณี คุปตานนท์,Kalayanee Kooptarnond,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,เคมี,182.0,31.0,171.0,7.0,35.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กัลยาณี ธาระสืบ,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,คณิตศาสตร์,,,,,,ปริญญาโท,ต่ออายุราชการ
รองศาสตราจารย์,กัลยาภรณ์ ปานมะเริง,,มหาวิทยาลัยศรีปทุม,Sripatum University,การบัญชี,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กัลลยานี ดวงฉวี,Galayanee Doungchawee,มหาวิทยาลัยมหิดล,Mahidol University,พยาธิชีววิทยา,212.0,23.0,190.0,9.0,66.0,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กัสมา กาซ้อน,,มหาวิทยาลัยราชภัฏเชียงราย,Chiang Rai Rajabhat University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนะ แก้วกำเนิด,Kanchana Keowkamnerd,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,!! รอแก้ไข !!,41.0,4.0,39.0,2.0,10.0,-,ข้าราชการ
รองศาสตราจารย์,กาญจนา จันทร์ประเสริฐ,Kanjana Chanprasert,มหาวิทยาลัยรังสิต,Rangsit University,ฟิสิกส์,33.0,4.0,32.0,4.0,13.0,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กาญจนา ชาญสง่าเวช,Kanjana Chansa-Ngavej,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,จุลชีววิทยา,,,,1.0,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนา ตันสุวรรณรัตน์,,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,Rajamangala University of Technology Isan,เทคโนโลยีสถาปัตยกรรม,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนา ตั้งนรารัชชกิจ,Kanchana Tangnararatchakit,มหาวิทยาลัยมหิดล,Mahidol University,กุมารเวชศาสตร์,687.0,43.0,626.0,14.0,143.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กาญจนา ธรรมาวาท,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เศรษฐศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนา นาถะพินธุ,Ganjana Nathapindhu,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สาธารณสุขศาสตร์,3.0,2.0,2.0,1.0,7.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนา สงวนวงศ์วาน,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เศรษฐศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนา สาลีติ๊ด,,มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,Muban Chom Bueng Rajabhat University,ชีววิทยา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนา อินทรสุนานนท์,,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,ดนตรี,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาญจนาท เรืองวรากร,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,การบริหารจัดการ,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,การุณ ใจปัญญา,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok,วิศวกรรมโยธา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,การุณย์ลักษณ์ พหลโยธิน,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ความสัมพันธ์ระหว่างประเทศ,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กาวี ศรีกูลกิจ,Kawee Srikulkit,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,วัสดุศาสตร์,671.0,39.0,652.0,9.0,48.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กำจร มุณีแก้ว,,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University and Princess of Naradhiwas University,คณิตศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กำชัย ตรีชัยรัศมี,,มหาวิทยาลัยศิลปากร,Silapakorn University,ฟิสิกส์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กำธร กำประเสริฐ,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,กฎหมายเปรียบเทียบ,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กำพล ประทีปชัยกูร,Gumpon Prateepchaikul,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,วิศวกรรมเครื่องกล,466.0,43.0,364.0,13.0,49.0,ปริญญาโท,ข้าราชการ
ศาสตราจารย์ ได้รับเงินประจำตำแหน่งสูงขึ้น,กำแหง จาตุรจินดา,Kamheang Chaturachinda,มหาวิทยาลัยมหิดล,Mahidol University,สูติศาสตร์-นรีเวชวิทยา,542.0,131.0,465.0,12.0,137.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิจจา อุไรรงค์,Kitcha Urairong,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,ศัลยศาสตร์,314.0,4.0,314.0,4.0,29.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิตติ จันทร์เลิศฤทธิ์,Kitti Chunlertrith,มหาวิทยาลัยขอนแก่น,Khon Kaen University,โรคทางเดินอาหาร,88.0,14.0,86.0,6.0,50.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิตติ จิระรัตนโพธิ์ชัย,Kitti Jiraratanaphochai,มหาวิทยาลัยขอนแก่น,Khon Kaen University,ศัลยศาสตร์ออร์โธปิดิคส์,1.0,2.0,1.0,1.0,6.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิตติ ตันไทย,,มหาวิทยาลัยราชภัฏสงขลา,Songkhla Rajabhat University,ประวัติศาสตร์,,,,,,ปริญญาโท,ต่ออายุราชการ
รองศาสตราจารย์,กิตติ พัฒนตระกูลสุข,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,การสอนคณิตศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิตติ สิริพัลลภ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิตติกรณ์ บำรุงบุญ,,มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Maha Sarakham University,ประติมากรรม,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์พิเศษ,กิตติณัฐ กิจวิกัย,Kittinut Kijvikai,มหาวิทยาลัยมหิดล,Mahidol University,ศัลยศาสตร์ระบบทางเดินปัสสาวะ,430.0,35.0,423.0,8.0,79.0,-,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กิตติพงษ์ ตันมิตร,,มหาวิทยาลัยขอนแก่น,Khon Kaen University,วิศวกรรมไฟฟ้า,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กิตติยา นรามาศ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิตติศักดิ์ กิจทวีสิน,Kitthisak Kitthaweesin,มหาวิทยาลัยขอนแก่น,Khon Kaen University,จักษุวิทยา,84.0,16.0,77.0,5.0,20.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิติ ยิ่งยงใจสุข,,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,ปรัชญาและศาสนา,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิติพงค์ มะโน,Kitipong Mano,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,ครุศาสตร์วิศวกรรม,5.0,3.0,5.0,1.0,10.0,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กิติมา ศศะนาวิน,,มหาวิทยาลัยพะเยา,University of Phayao,จิตวิทยาการแนะแนว,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
รองศาสตราจารย์,กิติมา สุรสนธิ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิติรัตน์ อังกานนท์,Kitirat Ungkanon,มหาวิทยาลัยมหิดล,Mahidol University,โสต นาสิก ลาริงซ์วิทยา,14.0,2.0,13.0,2.0,14.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิติรัตน์ เตชะไตรศักดิ์,Kitirat Techatraisak,มหาวิทยาลัยมหิดล,Mahidol University,ต่อมไร้ท่อทางนรีเวช,977.0,46.0,957.0,12.0,95.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กิติศักดิ์ พลอยพานิชเจริญ,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,บริหารอุตสาหกรรม,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิมาพร ขมะณะรงค์,Kimaporn Khamanarong,มหาวิทยาลัยขอนแก่น,Khon Kaen University,กายวิภาคศาสตร์,196.0,22.0,196.0,5.0,45.0,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กิ่งแก้ว ทรัพย์พระวงศ์,,มหาวิทยาลัยกรุงเทพ,Bangkok University,จิตวิทยา,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กิ่งแก้ว ปาจรีย์,Kingkaew Pajareya,มหาวิทยาลัยมหิดล,Mahidol University,เวชศาสตร์ฟื้นฟู,146.0,7.0,138.0,5.0,11.0,ปริญญาตรี,ข้าราชการ
